Year,Rank,Artist,Song,Song_genre,Genre,relevant_genres,primary_genre
2011,10,The Black Eyed Peas,Just Can’t Get Enough,Just Cant Get Enough,"['Hip-Hop', 'pop', 'black eyed peas', 'electro', 'dance']","['Hip-Hop', 'pop']",hip hop
2011,11,Jennifer Lopez,On The Floor,On The Floor,"['dance', 'pop', 'female vocalists', 'jennifer lopez', 'club']",['pop'],pop
2011,12,Rihanna,S&M,S&M,"['pop', 'dance', 'Rihanna', 'female vocalists', 'electronic']",['pop'],pop
2011,13,Foster The People,Pumped Up Kicks,Pumped Up Kicks,"['indie', 'indie pop', 'catchy', 'summer', 'happy']",['indie'],indie
2011,14,Katy Perry,Last Friday Night (T.G.I.F.),Last Friday Night (T.G.I.F.),"['pop', 'dance', 'katy perry', 'female vocalists', 'fun']",['pop'],pop
2011,15,Bruno Mars,Just The Way You Are,Just The Way You Are,"['pop', 'Bruno Mars', 'rnb', 'Love', '2010']","['pop', 'rnb']",pop
2011,16,Enrique Iglesias,Tonight (I’m Lovin’ You),Tonight (Im Lovin You),"['Hip-Hop', 'electronic', 'dance', 'rhythm and blues']",['Hip-Hop'],hip hop
2011,17,P!Nk,Raise Your Glass,Raise Your Glass,"['pop', 'pop rock', 'P!nk', 'female vocalists', 'rock']","['pop', 'rock']",pop
2011,18,Lady Gaga,Born This Way,Born This Way,"['pop', 'Lady Gaga', 'dance', 'born this way', 'epic']",['pop'],pop
2011,19,P!Nk,F**Kin’ Perfect,F**Kin Perfect,"['rock', 'female vocalists', 'Love', 'favorite sounds', 'kick ass lyrics']",['rock'],rock
2011,20,Rihanna,What’s My Name?,Whats My Name?,"['rnb', 'stargate', 'Awake', 'wdzh-FM', 'female vocalists']",['rnb'],r&b
2011,21,Chris Brown,Look At Me Now,Look At Me Now,"['Hip-Hop', 'rap', '2011', 'Busta Rhymes', 'Lil Wayne']","['Hip-Hop', 'rap']",hip hop
2011,22,Jeremih,Down On Me,Down On Me,"['dance', 'Hip-Hop', 'rap', 'hip hop', 'rnb']","['Hip-Hop', 'rap', 'hip hop', 'rnb']",hip hop
2011,23,Lil Wayne,How To Love,How To Love,"['Hip-Hop', 'Lil Wayne', 'hip hop', '<3', 'brokenhearted']","['Hip-Hop', 'hip hop']",hip hop
2011,24,Adele,Someone Like You,Someone Like You,"['Adele', 'soul', 'piano', 'british', 'female vocals']",['soul'],soul
2011,25,OneRepublic,Good Life,Good Life,"['alternative', 'rock', 'OneRepublic', 'pop', 'happy']","['rock', 'pop']",rock
2011,26,Bruno Mars,The Lazy Song,The Lazy Song,"['pop', 'Bruno Mars', 'rnb', 'reggae', 'lazy']","['pop', 'rnb', 'reggae']",pop
2011,27,Britney Spears,Till The World Ends,Till The World Ends,"['pop', 'dance', 'Britney Spears', 'electronic', 'female vocalists']",['pop'],pop
2011,28,Lupe Fiasco,The Show Goes On,The Show Goes On,"['Hip-Hop', 'alternative hip hop', 'rap', 'Lupe Fiasco', 'hip hop']","['Hip-Hop', 'rap', 'hip hop']",hip hop
2011,29,Lady Gaga,The Edge Of Glory,The Edge Of Glory,"['pop', 'Lady Gaga', 'dance', 'epic', 'saxophone']",['pop'],pop
2011,30,Ke$Ha,We R Who We R,We R Who We R,"['pop', 'dance', 'electronic', 'female vocalists', 'kesha']",['pop'],pop
2011,31,Wiz Khalifa,Black And Yellow,Black And Yellow,"['Hip-Hop', 'hip hop', 'rap', 'Black and Yellow', '2011']","['Hip-Hop', 'hip hop', 'rap']",hip hop
2011,32,Hot Chelle Rae,Tonight Tonight,Tonight Tonight,"['pop', 'catchy', 'dance', 'hot chelle rae', 'Summer Time']",['pop'],pop
2011,33,Ke$Ha,Blow,Blow,"['pop', 'dance', 'electronic', 'kesha', 'love at first listen']",['pop'],pop
2011,34,Bad Meets Evil,Lighters,Lighters,"['Eminem', 'rap', 'Hip-Hop', 'bad meets evil', 'inspirational']","['rap', 'Hip-Hop']",rap
2011,36,Gym Class Heroes,Stereo Hearts,Stereo Hearts,"['Hip-Hop', 'pop', 'hip hop', 'adam levine', 'gym class heroes']","['Hip-Hop', 'pop', 'hip hop']",hip hop
2011,37,The Black Eyed Peas,The Time (Dirty Bit),The Time (Dirty Bit),"['dance', 'electronic', 'pop', 'black eyed peas', 'Hip-Hop']","['pop', 'Hip-Hop']",pop
2011,39,Pitbull,Hey Baby (Drop It To The Floor),Hey Baby (Drop It To The Floor),"['dance', 'party', 'Pitbull', 'pop', 'male vocalists']",['pop'],pop
2011,40,Rihanna,Only Girl (In The World),Only Girl (In The World),"['pop', 'dance', 'Rihanna', 'female vocalists', 'electronic']",['pop'],pop
2011,41,Lil Wayne,6 Foot 7 Foot,6 Foot 7 Foot,"['club', '2011', 'hip hop', 'rap', '2010s']","['hip hop', 'rap']",hip hop
2011,42,Lady Antebellum,Just A Kiss,Just A Kiss,"['country', 'lady antebellum', 'Love', 'pop', 'country pop']","['country', 'pop']",country
2011,43,Jason Aldean,Dirt Road Anthem,Dirt Road Anthem,"['country', 'Jason Aldean', 'Awesome Aldean', 'dirt road anthem', 'modern country']",['country'],country
2011,44,Taio Cruz,Dynamite,Dynamite,"['dance', 'pop', 'Dynamite', 'taio cruz', '2010']",['pop'],pop
2011,46,Britney Spears,I Wanna Go,I Wanna Go,"['pop', 'dance', 'Britney Spears', 'electronic', 'femme fatale']",['pop'],pop
2011,49,Chris Brown,Yeah 3x,Yeah 3x,"['dance', 'Chris Brown', 'pop', 'rnb', 'male vocalists']","['pop', 'rnb']",pop
